Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_68,AERONAUTICA Y AUTOMOCION SA,ESA45351467,ES,3.9275243408750287,-0.057470362419891556,-0.05439790341397002,0.0,3.6967930850817443,3.3273589343863303,-0.249078116073083,-0.14502303904317707,-0.18331908454213003,-0.19061627563446606,0.48843393238537913,1.7323937598229686,"(39.8560679, -4.0239568, 0.0)",4
EASIN_69,AERONEFS SERVICES,FR823171798,FR,3.8329557506045986,-0.05423855898204046,-0.05175279725732215,2.4471580313422194,3.6644539285811577,2.9469432706978256,-0.29646962136971333,0.2599907882904464,0.4186295916857853,0.5575317498312052,-0.219868479204546,1.7558748556724915,"(44.8101856, -0.7815257, 0.0)",19
EASIN_70,AEROPRAKT MANUFACTURING SP. Z O.O.,PL360970113,PL,3.55339751012388,-0.05551537857470812,-0.05215039150216275,1.8325089127062364,2.973589623427257,1.863322860120456,-0.27615897624258606,0.11876886165438033,0.9467824708830106,0.03952719974683155,-0.5646919981858775,0.7781512503836436,"(49.8564352, 20.8086652, 0.0)",-1
EASIN_71,AEROPRO S.R.O.,SK34142215,SK,3.196728722623287,-0.0557959982654043,-0.05242649861663539,1.380211241711606,2.88024177589548,2.2576785748691846,-0.26261854615783453,0.046825616009591946,0.012807861826430256,0.004489563886507658,-0.08205942886122163,1.3424226808222062,"(48.31295, 18.0894593, 0.0)",-1
EASIN_72,AEROSERV PUERTO REAL SL,ESB11784485,ES,3.4470028984661623,-0.05574455132211,-0.0523436664822936,1.806179973983887,3.3281756614383227,2.6857417386022635,-0.24772407306460784,0.06281300393065603,0.031560157036022635,0.039236430984505216,-0.11124606179419641,1.6232492903979006,"(36.5286856, -6.1902161, 0.0)",18
EASIN_73,"AEROSERVIS, S.R.O.",CZ48533408,CZ,3.515211304327802,-0.054355483853163876,-0.05103491875969329,2.6757783416740852,3.7613263224214566,3.315130317183602,-0.24366194403918237,0.46160951373942133,0.16679729778284766,0.13460858502754453,0.28051678437831096,1.7558748556724915,"(49.1922443, 16.6113382, 0.0)",-1
EASIN_74,AEROSPACE COMPOSITES GMBH,DE8270334934,DE,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,2.7558748556724915,0.0,-0.39666880399687476,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.2787536009528289,"(48.3974003, 9.9934336, 0.0)",-1
EASIN_75,AEROSPACE ENGINEERING EUROPE S.A.,ESA48665814,ES,2.380211241711606,-0.05772759713636306,-0.05470714338217938,0.0,3.379668034033654,2.287801729930226,-0.31136409446294006,0.11033107358492986,-2.345569029827011,-0.3535921669183793,-0.5538598457571444,1.0,"(43.3188635, -3.075375, 0.0)",5
EASIN_76,AEROSPATIALE MATRA SA,FR572094514,FR,7.121511422413311,0.5680776980903597,0.11670567542472356,5.59369800818965,7.247124606553983,6.209563266804433,-0.25314024509850847,0.08634999170333373,0.09211903980111802,0.06656869464318112,-0.5204607091018846,4.723381778219141,"(48.8588897, 2.3200410217200766, 0.0)",12
EASIN_77,"AEROSPOOL, SPOL. S R.O.",SK30223148,SK,3.871689665685515,-0.053551040739834806,-0.050366739542669514,2.6334684555795866,3.7346398389876994,3.163757523981956,-0.178667879632375,0.3292694692817242,0.36645408795556655,0.27374143780069793,0.01151833239811011,1.954242509439325,"(48.7718361, 18.6234916, 0.0)",-1
EASIN_78,AEROSTAR S.A.,RO950531,RO,4.938729816843204,0.01872256059896828,0.02329311645634077,4.292632592082427,5.153403232452607,4.984135596637431,0.4238812591390685,0.8564091765679205,0.1836743634714808,0.16921006774437894,1.2412685261823173,3.199480914862356,"(46.4228703, 26.716399078506697, 0.0)",-1
EASIN_79,AEROSVILUPPI S.R.L.,IT02256950128,IT,3.9352552817840474,-0.05570245836850558,-0.05240993218976703,2.7831886910752575,3.9946250537686048,3.6008640363098396,-0.20439469679340289,0.05304293353445021,0.007402788501312451,-0.007868108512361766,0.4186267278446559,1.9084850188786497,"(45.5967722, 8.7547313, 0.0)",14
EASIN_80,AEROTECH CZECH S.R.O.,CZ26399407,CZ,3.7702627381705933,-0.05504767909021447,-0.05170862011900653,3.0199466816788423,3.847819347295239,3.3564083270389813,-0.3438611266663438,0.16406646076406192,0.08020581696208286,0.09869864288024162,0.17400061882910392,1.968482948553935,"(49.3951183, 13.2935954, 0.0)",-1
